Fact,Question,Answer
While your BHA products reduce the appearance of blemishes and unclogs pores.,Does BHA clog pores?,No
"It's commonly assumed that if you have oily, acne-prone skin that you should back off heavily hydrating products like serums, oils and gels. However, hydration is your friend when it comes to avoiding those pesky breakouts.",Should acne-prone skin stay away from hydrating products?,No
"Azelaic Acid 
What it does: Produced by a naturally occurring yeast on skin, this exfoliating ingredient reduces hyperpigmentation, fades dark spots, and kills acne- and rosacea-causing bacteria.

Who it's for: All skin types, but particularly acne-prone skin.

How to use it: Twice a day (morning and night) or once every other day for sensitive skin.

FYI: Start slow — azelaic acid may cause drying or peeling on application sites. Beta-Hydroxy Acids (BHAs)
What it does: BHAs are oil-soluble acids that plunge deep into pores to target oil glands and decrease oil secretion

Who it's for: Acne-prone and oily skin, since it decreases oil secretion and nixes dead skin to prevent pimples.",Is azeliac acid used on dry skin?,No
"Retinol 
What it does: A fat-soluble derivative of vitamin A, retinol is the reliable OTC anti-aging ingredient. It prevents collagen degeneration, encourages skin cell turnover, and strengthens skin against wrinkle formation.
Who it's for: Safe for all skin types, but best for mature skin types or anyone who wants to prevent signs of aging.
How to use it: Use once daily before bed, alternating nights of application and increasing frequency to nightly, once skin adjusts.
FYI: Retinol can be irritating and cause redness, dryness, peeling at first: Don't use alongside any chemical exfoliants or acids. Since it increases sun sensitivity, use SPF every day.",Should retinol be used with acids?,No
"Both an antioxidant and an anti-inflammatory, vitamin E prevents skin discoloration, protects against damage and signs of aging caused by free radicals and staves off acne breakouts.",Does Vitamin E not protect against skin discoloration?,No
"Ceramides 
What it does: This type of naturally-occurring fat holds skin cells together to help form a waterproof seal and healthy skin barrier that keeps skin hydrated.
Who it's for: Everyone, but particularly those with mature skin and eczema-prone, irritated, or dry, itchy skin.",Are cermaides particularly for oily skin?,No
Humectants are water-loving ingredients that draw moisture into skin to help increase moisture content over time.,Do humectants decrease moisture content?,No
"Vitamin C and vitamin E are the most popular antioxidants, but there are many, many more.” Think ferulic acid, vitamin A, resveratrol, and technically niacinamide. Basically, these help keep your skin cells healthy.",Is aloe vera an antioxidant?,No
"With argan oil, Hartman notes that the ingredient is non-comedogenic, meaning it won’t clog pores.",Does argan oil clog pores?,No
"According to Green, “grapeseed oil is packed with antioxidants such as vitamin E, A, and C.” ",Does grapeseed oil have vitamin D?,No
"Alcohol: A group of organic compounds that come in a variety of forms, some of which are good and some of which are bad. Good alcohols have a high molecular weight, while low–molecular weight alcohols are bad. The bad forms to look for are ethanol or ethyl alcohol, denatured alcohol, methanol, isopropyl alcohol, SD alcohol, and benzyl alcohol, all of which may be drying, sensitizing, or damaging to the skin's moisture barrier. ",Is ethanol a good form of alcohol?,No
"Glycerin: A humectant naturally found in the skin that helps it maintain a soft, moisturized, healthy look. Used topically in combination with other emollients and antioxidants, it has been shown to be very effective at restoring the skin. ",Is glycerin an occlusive?,No
"She continues that “squalane is a very common moisturizer in skincare because it is an antioxidant, non-irritating, non-allergenic, and non-comedogenic. Squalane is also suitable for all skin types including dry, sensitive, oily as well as acne-prone skin.”",Is squalane only suitable for oily skin types?,No
"According to Hartman, salicylic acid is the only BHA notably great for acne-prone skin. “It helps dry out acne, remove dead skin and oil, and even [helps] pigmentation,” explains Rabach. ",Is salicylic acid a type of AHA?,No
"Lactic acid is another of AHAs, and according to Love, “it gently exfoliates the top layer of skin and draws water into the skin.” ",Is lactic acid a type of BHA?,No
"Kojic acid is not an exfoliating acid despite the name. It is a natural by-product of a fungus that has the ability to block the pathway of melanin, so it’s really useful to treat hyperpigmentation issues or melasma.”",Is kojic acid an exfoliating acid?,No
Jojoba oil is another non-comedogenic oil that won’t clog pores when used on the face or body. ,Is jojoba oil a comedogenic oil?,No
"“Azelaic Acid is a compound that does a little bit of everything,” says Love. “It helps to improve redness, sensitivity, breakouts, and pigmentation. It’s great for rosacea and acne-prone skin.” ",Does azeliac acid worsen redness?,No
"Jojoba Oil 
What it does: Produced from the seeds of the simmondsia chinensis (jojoba) plant, jojoba oil is a lightweight yet hydrating oil to soften and hydrate skin, diminish the appearance of wrinkles, and reduce inflammation.",Does jojoba oil increase the appearance of wrinkles?,No
"Polyglutamic Acid 
What it does: A natural polymer and humectant, polyglutamic acid (PGA) is a super hydrator that attracts up to 5,000 times its weight in water to hydrate skin and make it look and feel more plump with reduced fine lines and wrinkles.
Who it’s for: PGA is gentle and hydrating so it's universally beneficial for a hydration boost as needed on all skin types and all environments for a dewy look.",Is polyglutamic acid not a humectant?,No
"Thick and heavy, occlusives are best for people for dry, dehydrated, sensitive or reactive skin.",Are occlusives best for oily skin?,No
"To avoid dull, uneven skin, you can't really go past (you probably guessed it) AHA/BHAs and vitamin C.",Is BHA prevent dull and uneven skin?,No
